day	price
1	16.3
2	4.5
3	33.9
4	38.7
5	28.5
6	24.3
7	24.8
8	27.2
9	25.4
10	33.1
11	47.0
12	45.0
13	43.8
14	42.4
15	32.9
16	28.2
17	26.2
18	38.2
19	45.5
20	48.3
21	44.0
22	39.3
23	44.2
24	48.3
25	48.4
26	38.7
27	42.9
28	43.2
29	38.1
30	30.8
31	34.6
32	44.3
33	37.3
34	38.9
35	27.2
36	26.1
37	36.4
38	39.9
39	37.9
40	34.9
41	39.5
42	36.7
43	31.9
44	36.4
45	37.2
46	35.3
47	48.3
48	39.5
49	40.7
50	33.7
51	17.8
52	19.1
53	32.2
54	23.7
55	36.4
56	42.0
57	42.4
58	35.5
59	32.6
60	27.0
61	34.3
62	37.3
63	30.4
64	35.7
65	34.7
66	33.4
67	37.1
68	32.4
69	35.0
70	23.2
71	26.8
72	26.0
73	27.9
74	29.9
75	29.4
76	26.4
77	20.2
78	30.6
79	28.7
80	34.8
81	34.0
82	31.2
83	33.2
84	32.0
85	30.5
86	31.1
87	22.0
88	27.8
89	28.9
90	29.6
91	33.8
92	32.4
93	35.8
94	35.2
95	37.5
96	31.4
97	32.6
98	32.4
99	31.9
100	30.6
101	36.5
102	36.3
103	35.6
104	33.6
105	33.9
106	44.8
107	49.0
108	29.6
109	28.7
110	32.1
111	41.6
112	47.7
113	45.6
114	38.0
115	45.6
116	46.7
117	47.2
118	45.5
119	24.6
120	27.4
121	24.5
122	30.5
123	33.2
124	34.8
125	34.4
126	34.2
127	38.8
128	37.6
129	34.2
130	30.5
131	37.6
132	39.5
133	37.4
134	31.9
135	26.0
136	29.3
137	30.9
138	41.0
139	39.1
140	37.6
141	40.8
142	33.0
143	35.5
144	34.5
145	33.7
146	33.5
147	28.3
148	33.9
149	27.7
150	36.5
151	33.4
152	43.2
153	32.0
154	35.4
155	34.4
156	37.0
157	39.0
158	38.0
159	37.2
160	40.5
161	47.1
162	44.3
163	42.2
164	44.7
165	39.9
166	47.3
167	48.4
168	41.7
169	37.2
170	37.8
171	40.4
172	42.2
173	49.6
174	43.2
175	41.6
176	42.3
177	44.0
178	36.7
179	28.8
180	35.1
181	36.4
182	32.1
183	31.7
184	20.4
185	24.8
186	38.2
187	35.2
188	41.7
189	51.3
190	36.8
191	35.7
192	36.4
193	42.5
194	30.7
195	34.7
196	34.9
197	29.5
198	26.4
199	42.6
200	37.0
201	32.5
202	32.6
203	17.0
204	19.5
205	17.3
206	13.3
207	31.0
208	26.9
209	21.9
